Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
Schindler's List,1993,195 min.,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes",,
Persona,1966,85 min.,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margareta Krook",,
Apocalypse Now,1979,153 min.,Francis Ford Coppola,"Martin Sheen, Robert Duvall, Dennis Hopper",,
The Red Shoes,1948,133 min.,"Michael Powell, Emeric Pressburger","Moira Shearer, Anton Walbrook, Marius Goring",,
The Passion of Joan of Arc,1928,110 min.,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley",,
Touch of Evil,1958,95 min.,Orson Welles,"Charlton Heston, Janet Leigh, Orson Welles",,
Vertigo,1958,129 min.,Alfred Hitchcock,"James Stewart, Kim Novak, Tom Helmore",,
Forrest Gump,1994,142 min.,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise",,
Jaws,1975,124 min.,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss",,
Chinatown,1974,131 min.,Roman Polanski,"Faye Dunaway, Jack Nicholson, John Hillerman",,
Le samouraï,1967,105 min.,Jean-Pierre Melville,"Alain Delon, François Perier, Nathalie Delon",,
Toy Story,1995,81 min.,John Lasseter,"Don Rickles, Wallace Shawn, Jim Varney",,
Bicycle Thieves,1948,93 min.,Vittorio De Sica,"Lamberto Maggiorani, Lianella Carell, Enzo Staiola",,
The Big Lebowski,1998,117 min.,Joel & Ethan Coen,"Julianne Moore, David Huddleston, Jeff Bridges",,
A Clockwork Orange,1971,136 min.,Stanley Kubrick,"Malcolm McDowell, Warren Clarke, Patrick Magee",,
Come and See,1985,140 min.,Elem Klimov,"Aleksei Kravchenko, Olga Mironova, Liubomiras Lauciavicius",,
The Lord of the Rings: The Two Towers,2002,179 min.,Peter Jackson,"Elijah Wood, Ian McKellen, Andy Serkis",,
Memento,2000,113 min.,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",,
Ferris Bueller's Day Off,1986,103 min.,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara",,
The Treasure of the Sierra Madre,1948,126 min.,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt",,
Tokyo Story,1953,136 min.,Yasujirô Ozu,"Chishu Ryu, Chieko Higashiyama, Setsuko Hara",,
The General,1926,103 min.,"Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender",,
Full Metal Jacket,1987,116 min.,Stanley Kubrick,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio",,
The Terminator,1984,108 min.,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",,
Fargo,1996,98 min.,Joel & Ethan Coen,"Frances McDormand, William H. Macy, Steve Buscemi",,
The 400 Blows,1959,99 min.,François Truffaut,"Jean-Pierre Léaud, Claire Maurier, Albert Remy",,
Inception,2010,148 min.,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",,
It Happened One Night,1934,105 min.,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly",,
Notorious,1946,101 min.,Alfred Hitchcock,"Cary Grant, Ingrid Bergman, Claude Rains",,
Wild Strawberries,1957,91 min.,Ingmar Bergman,"Victor Sjostrom, Bibi Andersson, Ingrid Thulin",,
Sunset Blvd.,1950,110 min.,Billy Wilder,"William Holden, Gloria Swanson, Nancy Olson",,
The Seventh Seal,1957,96 min.,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",,
The Departed,2006,151 min.,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Mark Wahlberg",,
Ace in the Hole,1951,111 min.,Billy Wilder,"Kirk Douglas, Robert Arthur, Jan Sterling",,
Modern Times,1936,87 min.,Charles Chaplin,"Charles Chaplin, Henry Bergman, Chester Conklin",,
2001: A Space Odyssey,1968,141 min.,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester",,
Strangers on a Train,1951,101 min.,Alfred Hitchcock,"Farley Granger, Robert Walker, Ruth Roman",,
Grand Illusion,1937,114 min.,Jean Renoir,"Jean Gabin, Dita Parlo, Pierre Fresnay",,
Batman Begins,2005,140 min.,Christopher Nolan,"Christian Bale, Katie Holmes, Gary Oldman",,
The Professional,1994,110 min.,Luc Besson,"Jean Reno, Natalie Portman, Gary Oldman",,
On the Waterfront,1954,108 min.,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb",,
Stalker,1979,163 min.,Andrei Tarkovsky,"Aleksandr Kaidanovsky, Alisa Frejndlikh, Anatoli Solonitsyn",,
Rocky,1976,119 min.,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young",,
8½,1963,138 min.,Federico Fellini,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée",,
In a Lonely Place,1950,94 min.,Nicholas Ray,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy",,
Inglourious Basterds,2009,153 min.,Quentin Tarantino,"Melanie Laurent, Brad Pitt, Christoph Waltz",,
Throne of Blood,1957,109 min.,Akira Kurosawa,"Toshirô Mifune, Isuzu Yamada, Minoru Chiaki",,
Network,1976,121 min.,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch",,
Indiana Jones and the Temple of Doom,1984,118 min.,Steven Spielberg,"Harrison Ford, Kate Capshaw, Ke Huy Quan",,
