Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
Kill Bill Vol. 1,2003,111 min.,Quentin Tarantino,Uma Thurman,Action Thriller,Action
Aguirre: The Wrath of God,1972,93 min.,Werner Herzog,Klaus Kinski,Adventure Drama,Adventure
No Country for Old Men,2007,122 min.,Joel & Ethan Coen,Tommy Lee Jones,Based-on-21st-Century-Literature,Crime Thriller
The Lion King,1994,89 min.,"Roger Allers, Rob Minkoff",Matthew Broderick,Adventure,Animated Musical
In the Mood for Love,2000,98 min.,Wong Kar-Wai,Tony Leung Chiu Wai,Drama,Foreign Language Film
The Great Dictator,1940,125 min.,Charles Chaplin,Charles Chaplin,Anti-War Film,Comedy Drama
The Gold Rush,1925,96 min.,Charles Chaplin,Charles Chaplin,Adventure Comedy,Adventure
Gladiator,2000,155 min.,Ridley Scott,Russell Crowe,Action,Adventure Drama
Diabolique,1955,116 min.,Henri-Georges Clouzot,Simone Signoret,Based-on-20th-Century-Literature,Crime
Stand by Me,1986,89 min.,Rob Reiner,River Phoenix,Adventure Drama,Adventure
Parasite,2019,132 min.,Bong Joon Ho,Kang-ho Song,Black Comedy,Comedy Drama
Rope,1948,80 min.,Alfred Hitchcock,James Stewart,Based-on-a-True-Story,Based-on-Theatre
Memories of Murder,2003,130 min.,Bong Joon Ho,Kang-ho Song,Based-on-a-True-Story,Crime Drama
The Searchers,1956,119 min.,John Ford,John Wayne,Epic,Revisionist Western
My Neighbor Totoro,1988,86 min.,Hayao Miyazaki,Noriko Hidaka,Adventure,Animation
Anatomy of a Murder,1959,160 min.,Otto Preminger,James Stewart,Courtroom Drama,Drama
Eternal Sunshine of the Spotless Mind,2004,108 min.,Michel Gondry,Jim Carrey,Comedy Drama,Drama
The Breakfast Club,1985,97 min.,John Hughes,Emilio Estevez,Comedy Drama,Coming-of-Age
The Thin Man,1934,91 min.,W.S. Van Dyke,William Powell,Based-on-20th-Century-Literature,Comedy Thriller
American History X,1998,119 min.,Tony Kaye,Edward Norton,Crime,Crime Drama
Office Space,1999,89 min.,Mike Judge,Stephen Root,Black Comedy,Comedy
Days of Heaven,1978,94 min.,Terrence Malick,Richard Gere,Costume Romance,Drama
It's a Wonderful Life,1946,130 min.,Frank Capra,James Stewart,Americana,Comedy Drama
The Killing,1956,85 min.,Stanley Kubrick,Sterling Hayden,Based-on-20th-Century-Literature,Caper
Bringing Up Baby,1938,102 min.,Howard Hawks,Katharine Hepburn,Comedy,Romance
Fanny and Alexander,1982,188 min.,Ingmar Bergman,Ewa Fröling,Childhood Drama,Drama
Sullivan's Travels,1941,90 min.,Preston Sturges,Joel McCrea,Comedy,Road Movie
Rififi,1955,122 min.,Jules Dassin,Jean Servais,Caper,Crime Thriller
Butch Cassidy and the Sundance Kid,1969,110 min.,George Roy Hill,Paul Newman,Buddy Film,New Hollywood
A Fistful of Dollars,1964,99 min.,Sergio Leone,Clint Eastwood,Action,Foreign Language Film
